millis,dist_raw,dist_filtered,water_height,setpoint,pid_val
44.75,49.50,49.18,17.82,0.50,0.74
44.85,48.60,49.16,17.84,0.50,0.74
44.96,48.20,49.13,17.87,0.50,0.74
45.05,47.40,49.10,17.90,0.50,0.74
45.15,48.20,49.08,17.92,0.50,0.74
45.25,49.90,49.05,17.95,0.50,0.74
45.35,48.20,49.03,17.97,0.50,0.74
45.45,48.60,49.01,17.99,0.50,0.74
45.55,47.80,48.99,18.01,0.50,0.74
45.66,49.40,48.98,18.02,0.50,0.74
45.76,48.60,48.96,18.04,0.50,0.74
45.86,46.90,48.96,18.04,0.50,0.74
45.97,49.50,48.95,18.05,0.50,0.74
46.06,48.60,48.95,18.05,0.50,0.74
46.16,49.00,48.96,18.04,0.50,0.75
46.26,49.40,48.96,18.04,0.50,0.75
46.36,48.60,48.97,18.03,0.50,0.75
46.46,47.40,48.98,18.02,0.50,0.75
46.56,49.00,48.99,18.01,0.50,0.75
46.67,49.00,49.00,18.00,0.50,0.75
46.77,48.60,49.01,17.99,0.50,0.75
46.87,49.00,49.02,17.98,0.50,0.75
46.98,48.60,49.03,17.97,0.50,0.75
47.07,49.10,49.03,17.97,0.50,0.75
47.17,47.00,49.03,17.97,0.50,0.75
47.27,47.40,49.02,17.98,0.50,0.75
47.37,49.00,49.01,17.99,0.50,0.76
47.47,48.60,49.00,18.00,0.50,0.76
47.58,48.20,48.98,18.02,0.50,0.76
47.68,47.40,48.96,18.04,0.50,0.76
47.78,47.40,48.94,18.06,0.50,0.76
47.88,49.50,48.91,18.09,0.50,0.76
47.99,48.60,48.89,18.11,0.50,0.76
48.08,48.20,48.86,18.14,0.50,0.76
48.18,48.60,48.83,18.17,0.50,0.76
48.28,48.60,48.80,18.20,0.50,0.76
48.38,48.70,48.77,18.23,0.50,0.76
48.48,48.60,48.75,18.25,0.50,0.76
48.59,49.50,48.72,18.28,0.50,0.76
48.69,48.60,48.70,18.30,0.50,0.76
48.79,47.80,48.68,18.32,0.50,0.76
48.89,48.20,48.66,18.34,0.50,0.76
49.00,49.40,48.64,18.36,0.50,0.76
49.09,48.20,48.62,18.38,0.50,0.76
49.19,49.50,48.61,18.39,0.50,0.76
